stemID           locationX        locationY        length           radians         
282              -9.55            405.49           57.74            2.69            
283              -9.55            405.49           57.74            1.57            
284              -9.55            405.49           69.46            1.83            
285              77.46            405.49           69.46            1.31            
286              77.46            405.49           57.74            1.57            
287              77.46            405.49           57.74            0.45            
288              77.46            405.49           69.46            0.71            
289              61.64            426.01           79.78            1.57            
290              61.64            426.01           66.32            1.83            
291              61.64            426.01           66.32            0.71            
292              61.64            426.01           79.78            0.97            
293              -36.66           396.10           72.74            2.43            
294              -36.66           396.10           60.47            2.69            
295              -36.66           396.10           60.47            1.57            
296              -36.66           396.10           72.74            1.83            
297              -45.75           374.30           63.33            2.69            
298              -45.75           374.30           52.64            2.95            
299              -45.75           374.30           52.64            1.83            
300              -45.75           374.30           63.33            2.09            
301              30.88            394.83           63.33            1.57            
302              30.88            394.83           52.64            1.83            
303              30.88            394.83           52.64            0.71            
304              30.88            394.83           63.33            0.97            
305              12.10            409.17           72.74            1.83            
306              12.10            409.17           60.47            2.09            
307              12.10            409.17           60.47            0.97            
308              12.10            409.17           72.74            1.23            
309              152.89           365.74           72.74            1.31            
310              152.89           365.74           60.47            1.57            
311              152.89           365.74           60.47            0.45            
312              152.89           365.74           72.74            0.71            
313              129.30           364.47           63.33            1.57            
314              129.30           364.47           52.64            1.83            
315              129.30           364.47           52.64            0.71            
316              129.30           364.47           63.33            0.97            
317              181.06           304.34           63.33            0.45            
318              181.06           304.34           52.64            0.71            
319              181.06           304.34           52.64            -0.41           
320              181.06           304.34           63.33            -0.15           
321              185.82           327.47           72.74            0.71            
322              185.82           327.47           60.47            0.97            
323              185.82           327.47           60.47            -0.15           
324              185.82           327.47           72.74            0.11            
325              121.45           407.56           79.78            1.57            
326              121.45           407.56           66.32            1.83            
327              121.45           407.56           66.32            0.71            
328              121.45           407.56           79.78            0.97            
329              96.82            399.52           69.46            1.83            
330              96.82            399.52           57.74            2.09            
331              96.82            399.52           57.74            0.97            
332              96.82            399.52           69.46            1.23            
333              168.72           350.50           69.46            0.71            
334              168.72           350.50           57.74            0.97            
335              168.72           350.50           57.74            -0.15           
336              168.72           350.50           69.46            0.11            
337              167.20           376.37           79.78            0.97            
338              167.20           376.37           66.32            1.23            
339              167.20           376.37           66.32            0.11            
340              167.20           376.37           79.78            0.37            
341              -241.47          405.51           65.05            3.07            
342              -241.47          405.51           51.64            3.33            
343              -241.47          405.51           51.64            2.21            
344              -241.47          405.51           65.05            2.47            
345              -233.11          383.79           54.08            3.33            
346              -233.11          383.79           42.93            3.59            
347              -233.11          383.79           42.93            2.47            
348              -233.11          383.79           54.08            2.73            
349              -189.11          438.97           54.08            2.21            
350              -189.11          438.97           42.93            2.47            
351              -189.11          438.97           42.93            1.35            
352              -189.11          438.97           54.08            1.61            
353              -212.14          442.28           65.05            2.47            
354              -212.14          442.28           51.64            2.73            
355              -212.14          442.28           51.64            1.61            
356              -212.14          442.28           65.05            1.87            
357              -237.74          358.28           56.63            3.33            
358              -237.74          358.28           44.95            3.59            
359              -237.74          358.28           44.95            2.47            
360              -237.74          358.28           56.63            2.73            
361              -225.81          341.90           47.08            3.59            
