specimenID       plantName        Age(Generation)  totalHeight (cm) totalWidth (cm)  stemNumbers     
299              129.93           418.53           74.41            0.79            
300              129.93           418.53           74.41            0.00            
301              135.42           416.26           74.41            2.36            
302              135.42           416.26           74.41            1.57            
303              135.42           416.26           74.41            0.79            
304              194.64           391.73           74.41            1.57            
305              194.64           391.73           74.41            0.79            
306              194.64           391.73           74.41            0.00            
307              219.17           332.51           74.41            0.79            
308              219.17           332.51           74.41            0.00            
309              219.17           332.51           74.41            -0.79           
310              80.14            390.10           74.41            3.14            
311              80.14            390.10           74.41            2.36            
312              80.14            390.10           74.41            1.57            
313              139.36           414.62           74.41            2.36            
314              139.36           414.62           74.41            1.57            
315              139.36           414.62           74.41            0.79            
316              198.58           390.10           74.41            1.57            
317              198.58           390.10           74.41            0.79            
318              198.58           390.10           74.41            0.00            
319              204.07           387.82           74.41            2.36            
320              204.07           387.82           74.41            1.57            
321              204.07           387.82           74.41            0.79            
322              263.29           363.29           74.41            1.57            
323              263.29           363.29           74.41            0.79            
324              263.29           363.29           74.41            0.00            
325              287.82           304.07           74.41            0.79            
326              287.82           304.07           74.41            0.00            
327              287.82           304.07           74.41            -0.79           
328              290.10           298.58           74.41            1.57            
329              290.10           298.58           74.41            0.79            
330              290.10           298.58           74.41            0.00            
331              314.62           239.36           74.41            0.79            
332              314.62           239.36           74.41            0.00            
333              314.62           239.36           74.41            -0.79           
334              290.10           180.14           74.41            0.00            
335              290.10           180.14           74.41            -0.79           
336              290.10           180.14           74.41            -1.57           
337              232.51           319.17           74.41            2.36            
338              232.51           319.17           74.41            1.57            
339              232.51           319.17           74.41            0.79            
340              291.73           294.64           74.41            1.57            
341              291.73           294.64           74.41            0.79            
342              291.73           294.64           74.41            0.00            
343              316.26           235.42           74.41            0.79            
344              316.26           235.42           74.41            0.00            
345              316.26           235.42           74.41            -0.79           
346              318.53           229.93           74.41            1.57            
347              318.53           229.93           74.41            0.79            
348              318.53           229.93           74.41            0.00            
349              343.06           170.71           74.41            0.79            
350              343.06           170.71           74.41            0.00            
351              343.06           170.71           74.41            -0.79           
352              318.53           111.49           74.41            0.00            
353              318.53           111.49           74.41            -0.79           
354              318.53           111.49           74.41            -1.57           
355              316.26           106.00           74.41            0.79            
356              316.26           106.00           74.41            0.00            
357              316.26           106.00           74.41            -0.79           
358              291.73           46.78            74.41            0.00            
359              291.73           46.78            74.41            -0.79           
360              291.73           46.78            74.41            -1.57           
361              232.51           22.25            74.41            -0.79           
362              232.51           22.25            74.41            -1.57           
363              232.51           22.25            74.41            -2.36           
364              -178.31          -31.94           66.11            6.28            
365              -178.31          -31.94           66.11            5.50            
366              -178.31          -31.94           66.11            4.71            
367              -232.51          -52.16           64.19            5.50            
368              -232.51          -52.16           64.19            4.71            
369              -232.51          -52.16           64.19            3.93            
370              -285.12          -30.36           64.19            4.71            
371              -285.12          -30.36           64.19            3.93            
372              -285.12          -30.36           64.19            3.14            
373              -291.73          -27.63           64.19            5.50            
374              -291.73          -27.63           64.19            4.71            
375              -291.73          -27.63           64.19            3.93            
376              -344.34          -5.83            64.19            4.71            
377              -344.34          -5.83            64.19            3.93            
378              -344.34          -5.83            64.19            3.14            
379              -366.14          46.78            64.19            3.93            
380              -366.14          46.78            64.19            3.14            
381              -366.14          46.78            64.19            2.36            
382              -368.87          53.39            64.19            4.71            
383              -368.87          53.39            64.19            3.93            
384              -368.87          53.39            64.19            3.14            
385              -390.67          106.00           64.19            3.93            
386              -390.67          106.00           64.19            3.14            
387              -390.67          106.00           64.19            2.36            
388              -368.87          158.62           64.19            3.14            
389              -368.87          158.62           64.19            2.36            
