stemID           locationX        locationY        length           radians         
248302           135.44           14.06            24.23            0.21            
248303           135.44           14.06            24.23            -1.15           
248304           135.44           14.06            24.23            -1.57           
248305           135.44           14.06            24.23            -2.93           
248306           114.56           14.06            24.23            -0.21           
248307           114.56           14.06            24.23            -1.57           
248308           114.56           14.06            24.23            -1.99           
248309           114.56           14.06            24.23            -3.35           
248310           74.77            63.19            24.23            -1.57           
248311           74.77            63.19            24.23            -2.93           
248312           74.77            63.19            24.23            -3.35           
248313           74.77            63.19            24.23            -4.71           
248314           -74.77           87.42            9.74             9.42            
248315           -74.77           87.42            9.74             8.06            
248316           -74.77           87.42            9.74             7.64            
248317           -74.77           87.42            9.74             6.28            
248318           -51.07           68.23            9.74             8.06            
248319           -51.07           68.23            9.74             6.70            
248320           -51.07           68.23            9.74             6.28            
248321           -51.07           68.23            9.74             4.92            
248322           -51.07           58.16            9.74             7.64            
248323           -51.07           58.16            9.74             6.28            
248324           -51.07           58.16            9.74             5.86            
248325           -51.07           58.16            9.74             4.50            
248326           -74.77           38.97            9.74             6.28            
248327           -74.77           38.97            9.74             4.92            
248328           -74.77           38.97            9.74             4.50            
248329           -74.77           38.97            9.74             3.14            
248330           -90.86           19.09            9.74             8.06            
248331           -90.86           19.09            9.74             6.70            
248332           -90.86           19.09            9.74             6.28            
248333           -90.86           19.09            9.74             4.92            
248334           -104.70          -8.07            9.74             6.70            
248335           -104.70          -8.07            9.74             5.34            
248336           -104.70          -8.07            9.74             4.92            
248337           -104.70          -8.07            9.74             3.56            
248338           -114.56          -10.17           9.74             6.28            
248339           -114.56          -10.17           9.74             4.92            
248340           -114.56          -10.17           9.74             4.50            
248341           -114.56          -10.17           9.74             3.14            
248342           -138.25          9.02             9.74             4.92            
248343           -138.25          9.02             9.74             3.56            
248344           -138.25          9.02             9.74             3.14            
248345           -138.25          9.02             9.74             1.78            
248346           -111.75          9.02             9.74             7.64            
248347           -111.75          9.02             9.74             6.28            
248348           -111.75          9.02             9.74             5.86            
248349           -111.75          9.02             9.74             4.50            
248350           -135.44          -10.17           9.74             6.28            
248351           -135.44          -10.17           9.74             4.92            
248352           -135.44          -10.17           9.74             4.50            
248353           -135.44          -10.17           9.74             3.14            
248354           -145.30          -8.07            9.74             5.86            
248355           -145.30          -8.07            9.74             4.50            
248356           -145.30          -8.07            9.74             4.08            
248357           -145.30          -8.07            9.74             2.72            
248358           -159.14          19.09            9.74             4.50            
248359           -159.14          19.09            9.74             3.14            
248360           -159.14          19.09            9.74             2.72            
248361           -159.14          19.09            9.74             1.36            
248362           -175.23          38.97            9.74             6.28            
248363           -175.23          38.97            9.74             4.92            
248364           -175.23          38.97            9.74             4.50            
248365           -175.23          38.97            9.74             3.14            
248366           -198.93          58.16            9.74             4.92            
248367           -198.93          58.16            9.74             3.56            
248368           -198.93          58.16            9.74             3.14            
248369           -198.93          58.16            9.74             1.78            
248370           -198.93          68.23            9.74             4.50            
248371           -198.93          68.23            9.74             3.14            
248372           -198.93          68.23            9.74             2.72            
248373           -198.93          68.23            9.74             1.36            
248374           -175.23          87.42            9.74             3.14            
248375           -175.23          87.42            9.74             1.78            
248376           -175.23          87.42            9.74             1.36            
248377           -175.23          87.42            9.74             0.00            
248378           -175.77          87.85            9.74             8.06            
248379           -175.77          87.85            9.74             6.70            
248380           -175.77          87.85            9.74             6.28            
248381           -175.77          87.85            9.74             4.92            
248382           -189.61          60.68            9.74             6.70            
248383           -189.61          60.68            9.74             5.34            
248384           -189.61          60.68            9.74             4.92            
248385           -189.61          60.68            9.74             3.56            
248386           -199.46          58.59            9.74             6.28            
248387           -199.46          58.59            9.74             4.92            
248388           -199.46          58.59            9.74             4.50            
248389           -199.46          58.59            9.74             3.14            
248390           -223.16          77.78            9.74             4.92            
248391           -223.16          77.78            9.74             3.56            
248392           -223.16          77.78            9.74             3.14            
248393           -223.16          77.78            9.74             1.78            
248394           -245.95          89.39            9.74             6.70            
248395           -245.95          89.39            9.74             5.34            
248396           -245.95          89.39            9.74             4.92            
248397           -245.95          89.39            9.74             3.56            
248398           -275.40          97.28            9.74             5.34            
248399           -275.40          97.28            9.74             3.98            
248400           -275.40          97.28            9.74             3.56            
248401           -275.40          97.28            9.74             2.20            
248402           -279.50          106.48           9.74             4.92            
248403           -279.50          106.48           9.74             3.56            
248404           -279.50          106.48           9.74             3.14            
248405           -279.50          106.48           9.74             1.78            
248406           -265.65          133.65           9.74             3.56            
248407           -265.65          133.65           9.74             2.20            
248408           -265.65          133.65           9.74             1.78            
248409           -265.65          133.65           9.74             0.42            
248410           -260.14          107.73           9.74             6.28            
248411           -260.14          107.73           9.74             4.92            
248412           -260.14          107.73           9.74             4.50            
248413           -260.14          107.73           9.74             3.14            
248414           -283.84          126.92           9.74             4.92            
248415           -283.84          126.92           9.74             3.56            
248416           -283.84          126.92           9.74             3.14            
248417           -283.84          126.92           9.74             1.78            
248418           -283.84          136.99           9.74             4.50            
248419           -283.84          136.99           9.74             3.14            
248420           -283.84          136.99           9.74             2.72            
248421           -283.84          136.99           9.74             1.36            
248422           -260.14          156.18           9.74             3.14            
248423           -260.14          156.18           9.74             1.78            
248424           -260.14          156.18           9.74             1.36            
248425           -260.14          156.18           9.74             0.00            
248426           -244.05          176.05           9.74             4.92            
248427           -244.05          176.05           9.74             3.56            
248428           -244.05          176.05           9.74             3.14            
248429           -244.05          176.05           9.74             1.78            
248430           -230.21          203.22           9.74             3.56            
248431           -230.21          203.22           9.74             2.20            
248432           -230.21          203.22           9.74             1.78            
248433           -230.21          203.22           9.74             0.42            
248434           -220.35          205.31           9.74             3.14            
248435           -220.35          205.31           9.74             1.78            
248436           -220.35          205.31           9.74             1.36            
248437           -220.35          205.31           9.74             -0.00           
248438           -196.66          186.13           9.74             1.78            
248439           -196.66          186.13           9.74             0.42            
248440           -196.66          186.13           9.74             -0.00           
248441           -196.66          186.13           9.74             -1.36           
248442           -196.66          113.87           9.74             7.64            
248443           -196.66          113.87           9.74             6.28            
248444           -196.66          113.87           9.74             5.86            
248445           -196.66          113.87           9.74             4.50            
248446           -220.35          94.69            9.74             6.28            
248447           -220.35          94.69            9.74             4.92            
248448           -220.35          94.69            9.74             4.50            
248449           -220.35          94.69            9.74             3.14            
248450           -230.21          96.78            9.74             5.86            
248451           -230.21          96.78            9.74             4.50            
248452           -230.21          96.78            9.74             4.08            
248453           -230.21          96.78            9.74             2.72            
248454           -244.05          123.95           9.74             4.50            
248455           -244.05          123.95           9.74             3.14            
248456           -244.05          123.95           9.74             2.72            
248457           -244.05          123.95           9.74             1.36            
248458           -260.14          143.82           9.74             6.28            
248459           -260.14          143.82           9.74             4.92            
248460           -260.14          143.82           9.74             4.50            
248461           -260.14          143.82           9.74             3.14            
248462           -283.84          163.01           9.74             4.92            
248463           -283.84          163.01           9.74             3.56            
248464           -283.84          163.01           9.74             3.14            
248465           -283.84          163.01           9.74             1.78            
248466           -283.84          173.08           9.74             4.50            
248467           -283.84          173.08           9.74             3.14            
248468           -283.84          173.08           9.74             2.72            
248469           -283.84          173.08           9.74             1.36            
248470           -260.14          192.27           9.74             3.14            
248471           -260.14          192.27           9.74             1.78            
248472           -260.14          192.27           9.74             1.36            
248473           -260.14          192.27           9.74             0.00            
248474           -265.65          166.35           9.74             5.86            
248475           -265.65          166.35           9.74             4.50            
248476           -265.65          166.35           9.74             4.08            
248477           -265.65          166.35           9.74             2.72            
248478           -279.50          193.52           9.74             4.50            
248479           -279.50          193.52           9.74             3.14            
248480           -279.50          193.52           9.74             2.72            
248481           -279.50          193.52           9.74             1.36            
248482           -275.40          202.72           9.74             4.08            
248483           -275.40          202.72           9.74             2.72            
248484           -275.40          202.72           9.74             2.30            
248485           -275.40          202.72           9.74             0.94            
248486           -245.95          210.61           9.74             2.72            
248487           -245.95          210.61           9.74             1.36            
248488           -245.95          210.61           9.74             0.94            
248489           -245.95          210.61           9.74             -0.42           
248490           -223.16          222.22           9.74             4.50            
248491           -223.16          222.22           9.74             3.14            
248492           -223.16          222.22           9.74             2.72            
248493           -223.16          222.22           9.74             1.36            
248494           -199.46          241.41           9.74             3.14            
248495           -199.46          241.41           9.74             1.78            
248496           -199.46          241.41           9.74             1.36            
248497           -199.46          241.41           9.74             0.00            
248498           -189.61          239.32           9.74             2.72            
248499           -189.61          239.32           9.74             1.36            
248500           -189.61          239.32           9.74             0.94            
248501           -189.61          239.32           9.74             -0.42           
